path,label,source,duration_sec,split
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_44_seg2.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\2216.wav,Wind,FSD50K,3.709375,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_71_seg2.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\422866.wav,Wind,FSD50K,7.8931875,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_22_seg5.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_35_seg5.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_34_seg2.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\234592.wav,Fire,FSD50K,18.125,train
X:\NEU\capstone\data\segments\fsd50k\35058.wav,Train,FSD50K,19.15525,val
X:\NEU\capstone\data\segments\fsd50k\96728.wav,Water,FSD50K,19.2074375,train
X:\NEU\capstone\data\segments\fsd50k\169947.wav,Train,FSD50K,25.7693125,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_33_seg0.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_50_seg1.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\415286.wav,Wind,FSD50K,26.5404375,train
X:\NEU\capstone\data\segments\fsd50k\431775.wav,Fire,FSD50K,11.0494375,val
X:\NEU\capstone\data\segments\fsd50k\41134.wav,Water,FSD50K,17.1624375,val
X:\NEU\capstone\data\segments\fsd50k\181566.wav,Fire,FSD50K,9.805125,train
X:\NEU\capstone\data\segments\fsd50k\394754.wav,Fire,FSD50K,25.2285,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_48_seg4.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\64003.wav,Train,FSD50K,14.4660625,val
X:\NEU\capstone\data\segments\fsd50k\159173.wav,Water,FSD50K,17.152,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_44_seg5.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\386220.wav,Fire,FSD50K,12.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_51_seg8.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_51_seg1.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_24_seg9.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_38_seg8.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_65_seg8.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\423809.wav,Fire,FSD50K,1.2323125,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_31_seg1.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_27_seg2.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_37_seg9.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\99082.wav,Thunder,FSD50K,17.6471875,val
X:\NEU\capstone\data\segments\wildfire\videoplayback_28_seg3.wav,Fire,FireDataset,5.0,test
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_20_seg2.wav,Fire,FireDataset,5.0,test
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_22_seg0.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_54_seg1.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\51034.wav,Wind,FSD50K,14.853,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_04_seg5.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\43945.wav,Train,FSD50K,27.2456875,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_24_seg8.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\174999.wav,Fire,FSD50K,9.79075,train
X:\NEU\capstone\data\segments\fsd50k\158476.wav,Fire,FSD50K,13.81875,train
X:\NEU\capstone\data\segments\fsd50k\176016.wav,Fire,FSD50K,6.23775,train
X:\NEU\capstone\data\segments\fsd50k\338372.wav,Water,FSD50K,10.76825,train
X:\NEU\capstone\data\segments\fsd50k\94251.wav,Fire,FSD50K,16.37875,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_11_seg5.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_43_seg5.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_36_seg1.wav,Fire,FireDataset,5.0,test
X:\NEU\capstone\data\segments\fsd50k\434537.wav,Fire,FSD50K,2.232,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_46_seg0.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\352854.wav,Fire,FSD50K,26.222625,test
X:\NEU\capstone\data\segments\fsd50k\98685.wav,Train,FSD50K,20.0620625,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_52_seg6.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_08_seg5.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_06_seg3.wav,Fire,FireDataset,5.0,test
X:\NEU\capstone\data\segments\fsd50k\49156.wav,Fire,FSD50K,5.0004375,train
X:\NEU\capstone\data\segments\fsd50k\242721.wav,Fire,FSD50K,8.4546875,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_65_seg9.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_31_seg0.wav,Fire,FireDataset,5.0,train
