segment_path,target_label,source,original_file,split,start_sec,end_sec,feature_path
data\segments\esc50\1-101296-A-19_seg00.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-101296-A-19.wav,train,0.0,2.0,data\features\esc50\1-101296-A-19_seg00.npy
data\segments\esc50\1-101296-A-19_seg01.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-101296-A-19.wav,train,1.0,3.0,data\features\esc50\1-101296-A-19_seg01.npy
data\segments\esc50\1-101296-A-19_seg02.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-101296-A-19.wav,train,2.0,4.0,data\features\esc50\1-101296-A-19_seg02.npy
data\segments\esc50\1-101296-A-19_seg03.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-101296-A-19.wav,train,3.0,5.0,data\features\esc50\1-101296-A-19_seg03.npy
data\segments\esc50\1-101296-B-19_seg00.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-101296-B-19.wav,train,0.0,2.0,data\features\esc50\1-101296-B-19_seg00.npy
data\segments\esc50\1-101296-B-19_seg01.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-101296-B-19.wav,train,1.0,3.0,data\features\esc50\1-101296-B-19_seg01.npy
data\segments\esc50\1-101296-B-19_seg02.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-101296-B-19.wav,train,2.0,4.0,data\features\esc50\1-101296-B-19_seg02.npy
data\segments\esc50\1-101296-B-19_seg03.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-101296-B-19.wav,train,3.0,5.0,data\features\esc50\1-101296-B-19_seg03.npy
data\segments\esc50\1-115521-A-19_seg00.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-115521-A-19.wav,train,0.0,2.0,data\features\esc50\1-115521-A-19_seg00.npy
data\segments\esc50\1-115521-A-19_seg01.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-115521-A-19.wav,train,1.0,3.0,data\features\esc50\1-115521-A-19_seg01.npy
data\segments\esc50\1-115521-A-19_seg02.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-115521-A-19.wav,train,2.0,4.0,data\features\esc50\1-115521-A-19_seg02.npy
data\segments\esc50\1-115521-A-19_seg03.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-115521-A-19.wav,train,3.0,5.0,data\features\esc50\1-115521-A-19_seg03.npy
data\segments\esc50\1-11687-A-47_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-11687-A-47.wav,train,0.0,2.0,data\features\esc50\1-11687-A-47_seg00.npy
data\segments\esc50\1-11687-A-47_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-11687-A-47.wav,train,1.0,3.0,data\features\esc50\1-11687-A-47_seg01.npy
data\segments\esc50\1-11687-A-47_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-11687-A-47.wav,train,2.0,4.0,data\features\esc50\1-11687-A-47_seg02.npy
data\segments\esc50\1-11687-A-47_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-11687-A-47.wav,train,3.0,5.0,data\features\esc50\1-11687-A-47_seg03.npy
data\segments\esc50\1-119125-A-45_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-119125-A-45.wav,train,0.0,2.0,data\features\esc50\1-119125-A-45_seg00.npy
data\segments\esc50\1-119125-A-45_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-119125-A-45.wav,train,1.0,3.0,data\features\esc50\1-119125-A-45_seg01.npy
data\segments\esc50\1-119125-A-45_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-119125-A-45.wav,train,2.0,4.0,data\features\esc50\1-119125-A-45_seg02.npy
data\segments\esc50\1-119125-A-45_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-119125-A-45.wav,train,3.0,5.0,data\features\esc50\1-119125-A-45_seg03.npy
data\segments\esc50\1-137296-A-16_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-137296-A-16.wav,train,0.0,2.0,data\features\esc50\1-137296-A-16_seg00.npy
data\segments\esc50\1-137296-A-16_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-137296-A-16.wav,train,1.0,3.0,data\features\esc50\1-137296-A-16_seg01.npy
data\segments\esc50\1-137296-A-16_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-137296-A-16.wav,train,2.0,4.0,data\features\esc50\1-137296-A-16_seg02.npy
data\segments\esc50\1-137296-A-16_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-137296-A-16.wav,train,3.0,5.0,data\features\esc50\1-137296-A-16_seg03.npy
data\segments\esc50\1-17150-A-12_seg00.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17150-A-12.wav,train,0.0,2.0,data\features\esc50\1-17150-A-12_seg00.npy
data\segments\esc50\1-17150-A-12_seg01.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17150-A-12.wav,train,1.0,3.0,data\features\esc50\1-17150-A-12_seg01.npy
data\segments\esc50\1-17150-A-12_seg02.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17150-A-12.wav,train,2.0,4.0,data\features\esc50\1-17150-A-12_seg02.npy
data\segments\esc50\1-17150-A-12_seg03.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17150-A-12.wav,train,3.0,5.0,data\features\esc50\1-17150-A-12_seg03.npy
data\segments\esc50\1-172649-A-40_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-A-40.wav,train,0.0,2.0,data\features\esc50\1-172649-A-40_seg00.npy
data\segments\esc50\1-172649-A-40_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-A-40.wav,train,1.0,3.0,data\features\esc50\1-172649-A-40_seg01.npy
data\segments\esc50\1-172649-A-40_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-A-40.wav,train,2.0,4.0,data\features\esc50\1-172649-A-40_seg02.npy
data\segments\esc50\1-172649-A-40_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-A-40.wav,train,3.0,5.0,data\features\esc50\1-172649-A-40_seg03.npy
data\segments\esc50\1-172649-B-40_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-B-40.wav,train,0.0,2.0,data\features\esc50\1-172649-B-40_seg00.npy
data\segments\esc50\1-172649-B-40_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-B-40.wav,train,1.0,3.0,data\features\esc50\1-172649-B-40_seg01.npy
data\segments\esc50\1-172649-B-40_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-B-40.wav,train,2.0,4.0,data\features\esc50\1-172649-B-40_seg02.npy
data\segments\esc50\1-172649-B-40_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-B-40.wav,train,3.0,5.0,data\features\esc50\1-172649-B-40_seg03.npy
data\segments\esc50\1-172649-C-40_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-C-40.wav,train,0.0,2.0,data\features\esc50\1-172649-C-40_seg00.npy
data\segments\esc50\1-172649-C-40_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-C-40.wav,train,1.0,3.0,data\features\esc50\1-172649-C-40_seg01.npy
data\segments\esc50\1-172649-C-40_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-C-40.wav,train,2.0,4.0,data\features\esc50\1-172649-C-40_seg02.npy
data\segments\esc50\1-172649-C-40_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-C-40.wav,train,3.0,5.0,data\features\esc50\1-172649-C-40_seg03.npy
data\segments\esc50\1-172649-D-40_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-D-40.wav,train,0.0,2.0,data\features\esc50\1-172649-D-40_seg00.npy
data\segments\esc50\1-172649-D-40_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-D-40.wav,train,1.0,3.0,data\features\esc50\1-172649-D-40_seg01.npy
data\segments\esc50\1-172649-D-40_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-D-40.wav,train,2.0,4.0,data\features\esc50\1-172649-D-40_seg02.npy
data\segments\esc50\1-172649-D-40_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-D-40.wav,train,3.0,5.0,data\features\esc50\1-172649-D-40_seg03.npy
data\segments\esc50\1-172649-E-40_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-E-40.wav,train,0.0,2.0,data\features\esc50\1-172649-E-40_seg00.npy
data\segments\esc50\1-172649-E-40_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-E-40.wav,train,1.0,3.0,data\features\esc50\1-172649-E-40_seg01.npy
data\segments\esc50\1-172649-E-40_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-E-40.wav,train,2.0,4.0,data\features\esc50\1-172649-E-40_seg02.npy
data\segments\esc50\1-172649-E-40_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-E-40.wav,train,3.0,5.0,data\features\esc50\1-172649-E-40_seg03.npy
data\segments\esc50\1-172649-F-40_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-F-40.wav,train,0.0,2.0,data\features\esc50\1-172649-F-40_seg00.npy
data\segments\esc50\1-172649-F-40_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-F-40.wav,train,1.0,3.0,data\features\esc50\1-172649-F-40_seg01.npy
data\segments\esc50\1-172649-F-40_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-F-40.wav,train,2.0,4.0,data\features\esc50\1-172649-F-40_seg02.npy
data\segments\esc50\1-172649-F-40_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-172649-F-40.wav,train,3.0,5.0,data\features\esc50\1-172649-F-40_seg03.npy
data\segments\esc50\1-17367-A-10_seg00.wav,Water,ESC-50,data\standardized_wav\esc50\1-17367-A-10.wav,train,0.0,2.0,data\features\esc50\1-17367-A-10_seg00.npy
data\segments\esc50\1-17367-A-10_seg01.wav,Water,ESC-50,data\standardized_wav\esc50\1-17367-A-10.wav,train,1.0,3.0,data\features\esc50\1-17367-A-10_seg01.npy
data\segments\esc50\1-17367-A-10_seg02.wav,Water,ESC-50,data\standardized_wav\esc50\1-17367-A-10.wav,train,2.0,4.0,data\features\esc50\1-17367-A-10_seg02.npy
